V 0.10
Date: 2,7,2019
Height,Pascal,Kalman_Height,mpuPitch,mpuRoll,mpuYaw,OutputX,OutputY
168,2194.35,73004.00,0.000.00,0.00,0.00,0.00,0.00
305,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
441,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
576,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
712,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
848,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
985,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
1120,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
1256,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
1395,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
1530,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
1667,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
1802,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
1937,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
2072,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
2207,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
2342,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
2479,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
2614,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
2752,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
2888,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3023,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3159,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3294,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
3429,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
3565,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
3700,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
3835,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
3971,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
4110,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
4245,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
4380,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
4515,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
4651,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
4787,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
4922,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
5057,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
5192,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
5327,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
5467,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
5602,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
5737,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
5873,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
6008,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
6144,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
6279,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
6414,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
6550,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
6685,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
6823,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
6960,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
7095,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
7230,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
7365,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
7500,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
7636,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
7772,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
7907,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
8042,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
8181,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
8316,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
8452,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
8587,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
8723,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
8858,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
8993,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
9128,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
9264,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
9399,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
9538,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
9673,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
9809,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
9945,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
10080,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
10215,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
10350,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
10486,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
10621,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
10757,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
10896,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
11031,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
11166,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
11302,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
11438,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
11573,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
11709,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
11844,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
11979,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
12114,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
12254,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
12389,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
