V 0.10
Date: 2,7,2019
countsec,Pascal,Kalman_Height,mpuPitch,mpuRoll,mpuYaw,OutputX,OutputY
147,2194.35,73004.00,0.000.00,0.00,0.00,0.00,0.00
283,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
419,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
555,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
691,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
827,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
962,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
1098,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
1234,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
1374,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
1510,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
1645,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
1780,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
1915,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
2052,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
2187,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
2322,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
2457,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
2716,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
2855,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
2991,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3126,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3261,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3397,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3532,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3667,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
3803,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
3939,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
4178,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
4318,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
4453,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
4589,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
4724,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
4859,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
4995,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
5131,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
5266,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
5401,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
5643,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
5782,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
5917,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
6052,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
6188,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
6324,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
6459,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
6594,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
6729,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
6865,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
7106,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
7245,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
7380,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
7516,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
7652,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
7787,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
7922,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
8057,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
8194,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
8329,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
8570,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
8710,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
8845,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
8981,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
9116,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
9251,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
9387,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
9523,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
9658,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
9793,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
10035,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
10174,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
10309,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
10444,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
10580,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
10716,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
10851,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
10987,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
11122,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
11257,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
11499,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
11638,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
11773,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
11909,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
12045,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
12180,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
12316,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
12451,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
12587,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
12723,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
12967,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
13107,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
13242,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
13377,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
13513,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
13648,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
13784,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
13920,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
14055,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
14190,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
14326,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
14466,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
14601,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
14736,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
14872,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
15007,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
15142,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
15279,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
15414,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
15549,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
15688,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
15824,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
15960,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
16095,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
16231,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
16366,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
16501,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
16637,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
16773,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
16908,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
17047,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
17183,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
17318,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
17454,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
17590,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
17725,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
17860,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
17996,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18131,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18267,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18406,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18542,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18677,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18812,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18949,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
19084,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
19219,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19355,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19490,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19625,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19765,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
19901,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
20036,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
20171,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
