t,p,alt,KMF,ax,ay,az,gx,gy,gz,roll,pitch,RAM,Launch,Apo,Land
26429,95009.01,541.70,542.38,1.59,0.07,0.01,-8.60,1.96,3.54,79.93,-87.44,571,1,0,0
26464,95000.22,542.47,542.38,2.00,-0.07,-0.12,4.89,11.18,-0.46,-147.77,-86.09,571,1,0,0
26499,95004.85,541.85,542.38,2.00,-0.08,-0.19,1.88,13.73,0.96,-156.66,-84.22,571,1,0,0
26533,95000.60,542.44,542.38,2.00,0.06,-0.21,5.56,15.26,-3.50,164.76,-83.94,571,1,0,0
26567,94995.00,542.93,542.38,1.66,0.08,0.08,12.30,7.80,-13.74,45.19,-86.28,571,1,0,0
26602,94995.75,542.86,542.39,1.17,-0.00,0.03,42.60,12.64,-19.18,-3.40,-88.59,571,1,0,0
26641,94998.89,542.59,542.39,0.65,0.02,0.12,-3.78,9.22,-12.28,8.36,-79.38,571,1,0,0
26677,94998.89,543.21,542.39,0.48,0.04,-0.02,23.35,10.51,-6.74,119.61,-84.08,571,1,0,0
26712,94990.49,543.32,542.39,0.34,0.09,-0.00,-3.06,5.79,-1.39,92.50,-75.13,571,1,0,0
26746,94996.09,542.83,542.39,0.65,0.07,0.28,-10.06,3.66,1.20,14.76,-65.58,571,1,0,0
26781,94995.75,542.86,542.39,0.32,0.03,0.06,2.49,7.03,3.40,26.65,-77.58,571,1,0,0
26817,95002.42,542.28,542.39,0.38,0.07,-0.06,-18.77,-2.68,4.77,129.70,-75.88,571,1,0,0
26856,94998.17,542.80,542.39,0.56,0.02,0.09,-13.32,-10.61,4.82,11.43,-81.00,571,1,0,0
26891,94998.89,542.59,542.39,0.60,0.08,-0.13,-26.82,-20.31,4.81,146.84,-75.89,571,1,0,0
26926,94992.94,543.11,542.40,0.80,0.05,-0.08,-17.40,-25.32,2.94,146.79,-83.53,571,1,0,0
26961,94992.19,542.89,542.40,1.02,0.01,-0.00,-29.51,-26.18,1.81,107.60,-89.41,571,1,0,0
26996,94992.57,543.14,542.40,1.03,0.04,-0.05,-17.74,-20.20,2.27,142.97,-86.41,571,1,0,0
27035,94995.37,542.83,542.40,1.00,0.06,-0.09,-9.79,-11.20,0.68,146.47,-83.88,571,1,0,0
27070,95001.35,542.37,542.40,1.03,0.02,-0.08,-23.33,-8.06,2.36,163.53,-85.62,571,1,0,0
27105,94984.16,543.88,542.40,1.01,0.01,-0.10,-0.06,0.08,2.22,172.97,-84.07,571,1,0,0
27140,94995.37,542.89,542.40,1.03,0.01,-0.09,0.30,8.50,1.72,176.04,-84.94,571,1,0,0
27174,94996.82,542.77,542.41,1.04,0.00,-0.07,1.55,10.44,2.43,178.87,-85.97,571,1,0,0
27210,95001.70,542.34,542.41,0.96,0.06,-0.12,9.86,16.32,2.12,154.98,-82.02,571,1,0,0
27249,94995.11,542.92,542.41,1.01,-0.01,-0.10,14.11,15.87,-1.08,-176.45,-84.25,571,1,0,0
27284,94990.49,543.32,542.41,0.95,-0.02,-0.13,3.23,15.70,1.59,-169.60,-82.34,571,1,0,0
27319,94990.83,543.26,542.41,0.97,0.02,-0.08,6.93,14.10,2.24,167.55,-84.95,571,1,0,0
27354,94994.39,542.98,542.41,1.00,-0.01,-0.09,3.22,11.38,2.49,-174.15,-84.83,571,1,0,0
27389,94996.44,542.80,542.41,0.91,0.00,-0.11,1.11,9.61,3.38,179.75,-83.36,571,1,0,0
27424,94993.28,542.80,542.41,0.97,0.01,-0.11,-8.58,5.54,3.42,173.77,-83.51,571,1,0,0
27463,94993.28,542.83,542.42,0.94,0.02,-0.10,1.17,2.82,3.59,166.31,-83.87,571,1,0,0
27498,94996.82,542.80,542.42,1.00,0.03,-0.02,-1.45,1.37,3.80,121.42,-88.16,571,1,0,0
27533,94991.21,543.26,542.42,0.98,0.06,-0.03,-2.66,2.19,5.97,115.09,-86.07,571,1,0,0
27568,94993.28,543.08,542.42,1.04,0.05,-0.02,9.71,3.32,6.43,113.73,-86.73,571,1,0,0
27603,94991.21,543.29,542.42,0.96,0.04,-0.05,-4.22,4.29,8.58,139.97,-86.44,571,1,0,0
27638,94999.61,542.52,542.42,0.95,0.09,0.02,-4.13,4.18,13.18,78.27,-84.54,571,1,0,0
27685,94990.49,543.32,542.43,0.99,0.06,-0.03,10.29,5.52,16.40,118.49,-85.85,571,1,0,0
27720,94993.64,543.05,542.43,0.93,0.05,-0.06,5.05,4.94,19.78,138.96,-85.25,571,1,0,0
27755,94996.44,543.05,542.43,0.97,0.04,-0.05,4.06,3.15,22.25,140.94,-85.96,571,1,0,0
27790,94986.35,543.68,542.43,0.97,0.04,-0.04,-13.15,1.14,25.31,136.33,-86.46,571,1,0,0
27826,94991.58,543.23,542.43,0.96,0.05,-0.04,8.07,-0.43,25.72,132.19,-86.24,571,1,0,0
27860,94994.77,542.95,542.44,1.01,0.03,-0.03,1.59,-1.92,26.39,140.05,-87.44,571,1,0,0
27899,94985.97,543.72,542.44,1.06,0.03,-0.03,5.58,-4.82,25.53,134.35,-87.57,571,1,0,0
27934,94991.96,542.70,542.44,1.02,0.04,-0.03,4.58,-6.79,23.78,131.83,-87.21,571,1,0,0
27969,94985.97,543.72,542.44,1.05,0.07,-0.03,0.79,-9.41,20.58,110.88,-86.03,571,1,0,0
28004,94995.11,542.92,542.44,1.00,0.09,-0.04,9.43,-11.16,14.71,115.37,-84.08,571,1,0,0
28039,94985.97,543.72,542.45,1.02,0.09,-0.02,9.67,-12.76,9.32,104.43,-85.05,571,1,0,0
28073,94991.96,543.19,542.45,1.02,0.10,-0.04,11.83,-13.37,3.85,111.33,-84.27,571,1,0,0
28113,94983.89,542.88,542.45,1.04,0.07,-0.07,23.67,-14.14,-2.20,133.19,-84.59,571,1,0,0
28156,94997.91,542.67,542.45,1.02,0.09,-0.05,18.96,-14.53,-7.01,120.69,-84.24,571,1,0,0
28190,94997.91,542.67,542.45,1.03,0.09,-0.06,28.75,-13.76,-10.63,125.71,-83.93,571,1,0,0
28224,94994.39,542.98,542.45,1.01,0.10,-0.06,30.61,-13.53,-13.21,121.46,-83.62,571,1,0,0
28258,94996.24,543.06,542.46,1.01,0.08,-0.07,30.25,-12.56,-15.08,129.85,-83.80,571,1,0,0
28292,94992.30,543.03,542.46,0.98,0.08,-0.08,36.64,-11.20,-15.98,134.02,-83.60,571,1,0,0
28329,94987.08,543.62,542.46,1.00,0.07,-0.08,37.99,-9.50,-16.76,136.24,-84.07,571,1,0,0
28363,94987.08,543.62,542.46,0.99,0.07,-0.10,36.41,-8.51,-16.19,145.50,-82.69,571,1,0,0
28397,94987.08,543.66,542.47,0.97,0.10,-0.10,42.30,-9.10,-17.05,133.90,-81.67,571,1,0,0
28431,94987.46,543.59,542.47,0.93,0.07,-0.15,41.81,-9.69,-17.52,154.48,-79.69,571,1,0,0
28465,94995.86,542.85,542.47,0.93,0.08,-0.17,36.96,-10.88,-18.02,156.14,-78.58,571,1,0,0
28502,94993.06,543.10,542.47,1.00,0.07,-0.13,32.37,-12.85,-18.32,153.15,-81.71,571,1,0,0
28535,94987.46,542.79,542.47,0.99,0.08,-0.08,31.53,-13.21,-19.55,135.83,-83.71,571,1,0,0
28569,94983.89,543.90,542.48,1.08,0.01,-0.06,38.41,-12.02,-20.92,170.08,-86.62,571,1,0,0
28603,94992.67,543.13,542.48,1.07,-0.00,-0.05,32.24,-10.39,-22.45,-174.57,-87.26,571,1,0,0
28637,94984.64,543.84,542.48,1.09,-0.01,-0.01,30.30,-7.48,-23.79,-116.57,-89.17,571,1,0,0
28670,94987.83,543.56,542.49,1.08,-0.04,-0.05,31.77,-4.79,-24.79,-145.82,-86.69,571,1,0,0
28708,94992.67,543.13,542.49,1.00,-0.07,-0.10,32.95,-2.81,-26.41,-145.77,-83.19,571,1,0,0
28742,94987.46,543.59,542.49,1.01,-0.10,-0.09,26.02,-2.65,-27.01,-132.97,-82.32,571,1,0,0
28776,94992.30,543.16,542.49,0.94,-0.12,-0.07,22.13,-3.07,-30.04,-120.72,-81.87,571,1,0,0
28810,94995.49,542.88,542.50,0.96,-0.11,-0.06,10.00,-1.79,-30.66,-119.79,-82.52,571,1,0,0
28844,94986.71,543.03,542.50,0.90,-0.12,-0.03,19.67,-2.08,-32.15,-101.88,-82.09,571,1,0,0
28877,94998.66,542.61,542.50,0.86,-0.16,-0.05,12.90,-3.22,-34.58,-106.45,-79.23,571,1,0,0
28915,94992.67,543.13,542.50,0.83,-0.09,-0.08,-10.71,-2.96,-33.65,-131.73,-82.14,571,1,0,0
28949,94984.27,543.62,542.50,0.83,-0.10,-0.09,-3.07,-3.14,-34.44,-131.21,-81.15,571,1,0,0
28983,94999.03,542.64,542.50,0.93,-0.12,-0.10,-14.09,-2.11,-31.62,-128.40,-80.46,571,1,0,0
29017,94993.06,543.10,542.51,1.00,-0.08,-0.06,-51.86,0.50,-27.56,-127.25,-84.44,571,1,0,0
29050,94987.46,543.59,542.51,0.97,-0.06,-0.09,-24.05,4.52,-23.16,-145.82,-83.66,571,1,0,0
29088,94992.67,543.06,542.51,0.97,-0.02,-0.12,-20.94,6.94,-17.88,-170.09,-82.67,571,1,0,0
29122,94986.71,543.66,542.51,1.01,0.03,-0.11,-30.73,8.80,-11.25,166.61,-83.32,571,1,0,0
29156,94993.81,543.03,542.52,1.05,0.08,-0.08,-33.04,10.77,-3.18,135.10,-83.88,571,1,0,0
29190,94993.43,543.06,542.52,1.08,0.13,-0.10,-36.11,14.47,0.67,129.29,-81.38,571,1,0,0
29222,94992.30,543.16,542.52,1.13,0.16,-0.09,-47.65,15.35,9.32,119.15,-81.04,571,1,0,0
29256,94985.02,542.82,542.52,1.15,0.23,-0.06,-48.42,16.78,17.91,103.75,-78.48,571,1,0,0
29294,94981.10,544.15,542.53,1.15,0.29,-0.05,-51.07,15.72,24.19,100.48,-75.38,571,1,0,0
29328,94998.28,542.64,542.53,1.18,0.31,-0.06,-51.77,14.95,31.39,101.65,-75.10,571,1,0,0
29362,94993.81,542.79,542.53,1.12,0.35,-0.04,-46.59,13.18,37.82,96.75,-72.32,571,1,0,0
29395,94993.81,543.00,542.53,1.11,0.40,-0.09,-53.49,9.97,42.81,102.80,-69.82,571,1,0,0
29429,94987.83,543.59,542.53,1.06,0.37,-0.06,-34.46,5.89,45.88,99.16,-70.60,571,1,0,0
29462,94995.11,542.92,542.53,1.01,0.33,-0.12,-27.05,2.34,47.91,110.25,-70.74,571,1,0,0
29500,94985.75,543.99,542.54,0.99,0.28,-0.14,-40.91,-2.04,49.46,116.05,-72.48,571,1,0,0
29534,94997.30,543.06,542.54,0.93,0.28,-0.10,-31.11,-5.97,47.74,109.15,-72.13,571,1,0,0
29568,94997.68,542.69,542.54,0.91,0.24,-0.09,-25.83,-8.63,43.59,110.44,-74.04,571,1,0,0
29601,94986.47,543.67,542.54,0.90,0.18,-0.11,-28.12,-9.92,41.03,121.97,-76.95,571,1,0,0
29635,94989.27,543.43,542.55,0.92,0.15,-0.09,-24.19,-11.24,38.02,121.45,-79.23,571,1,0,0
29669,94986.47,543.67,542.55,0.90,0.13,-0.12,-22.79,-10.16,34.60,133.19,-78.65,571,1,0,0
29706,94986.47,543.67,542.55,0.88,0.12,-0.12,-16.98,-10.54,30.36,136.60,-79.21,571,1,0,0
29740,94986.85,543.64,542.56,0.91,0.08,-0.10,-11.62,-9.16,25.79,139.87,-81.87,571,1,0,0
29773,94987.22,543.61,542.56,0.88,0.10,-0.11,-18.60,-7.42,22.41,137.77,-80.08,571,1,0,0
29807,94987.22,543.61,542.57,0.87,0.10,-0.11,-5.78,-7.06,16.82,137.44,-79.91,571,1,0,0
29841,94996.35,543.55,542.57,0.89,0.07,-0.13,1.57,-5.63,11.22,150.65,-80.57,571,1,0,0
29878,94987.57,543.58,542.57,0.89,0.04,-0.15,3.52,-4.36,5.71,165.51,-79.86,571,1,0,0
29912,94991.50,543.24,542.57,0.89,0.07,-0.14,-4.14,-3.05,1.84,153.81,-80.04,571,1,0,0
29945,94995.63,542.87,542.58,0.92,0.06,-0.10,-0.50,-2.36,-2.95,147.24,-82.94,571,1,0,0
29988,94990.02,542.74,542.58,0.91,0.03,-0.11,8.11,1.01,-7.19,166.32,-83.23,571,1,0,0
