Time,Pascal,alt,KMF,ax,ay,az,Apo,Apo_KMF,v
35962,89613,518.25,515.92,-32768,21104,-5848,0,0,
35992,89614,518.16,515.92,2400,-12984,-4336,0.09,0,0
36023,89614,518.16,515.93,-7752,-11848,4680,0,-0.01,0
36052,89615,518.07,515.93,7044,-10496,-484,0.09,0,0
36083,89616,517.98,515.94,1632,-18788,1116,0.09,-0.01,0
36113,89617,517.88,515.95,1468,-18336,-3276,0.1,-0.01,0
36144,89617,517.88,515.95,2436,-15144,-2248,0,0,0
36174,89618,517.79,515.96,3788,-17436,1444,0.09,-0.01,0
36204,89618,517.79,515.96,1880,-20408,-4656,0,0,0
36235,89619,517.7,515.97,1696,-19972,-3608,0.09,-0.01,0
36264,89619,517.7,515.97,5996,-22948,-1856,0,0,0
36298,89619,517.7,515.98,2328,-21072,-1604,0,-0.01,0
36329,89619,517.7,515.99,4236,-18628,-1804,0,-0.01,0
36360,89620,517.6,515.99,3364,-21200,-1020,0.1,0,0
36390,89621,517.51,516,2924,-26480,-2480,0.09,-0.01,0
36421,89621,517.51,516,2564,-32768,-6284,0,0,0
36452,89621,517.51,516.01,5136,-32704,-4352,0,-0.01,0
36483,89621,517.51,516.02,3296,-32768,-2208,0,-0.01,0
36513,89622,517.42,516.02,4916,-32768,-280,0.09,0,0
36544,89624,517.23,516.03,7568,-32768,-2112,0.19,-0.01,-0.01
36575,89624,517.23,516.03,3976,-32768,-1136,0,0,0
36609,89625,517.14,516.04,5640,-32768,1260,0.09,-0.01,0
36639,89625,517.14,516.04,4308,-32768,-628,0,0,0
36670,89625,517.14,516.05,2540,-32768,6452,0,-0.01,0
36701,89626,517.04,516.05,6632,-31548,4364,0.1,0,0
36731,89626,517.04,516.06,7320,-32768,7180,0,-0.01,0
36762,89626,517.04,516.06,6984,-29028,4384,0,0,0
36793,89626,517.04,516.06,5088,-23668,984,0,0,0
36837,89626,517.04,516.07,2048,-24244,6948,0,-0.01,0
36868,89625,517.14,516.07,6720,-5464,2536,-0.1,0,0
36898,89626,517.04,516.08,1464,636,-3316,0.1,-0.01,0
36929,89625,517.14,516.09,-624,584,-644,-0.1,-0.01,0
36963,89625,517.14,516.09,448,616,-1744,0,0,0
36994,89625,517.14,516.1,88,308,-1272,0,-0.01,0
37033,89625,517.14,516.1,332,172,-1392,0,0,0
37063,89625,517.14,516.11,156,300,-1280,0,-0.01,0
37094,89625,517.14,516.11,92,100,-1236,0,0,0
37125,89624,517.23,516.12,200,112,-1364,-0.09,-0.01,0
37155,89624,517.23,516.13,168,84,-1308,0,-0.01,0
37185,89624,517.23,516.13,220,128,-1288,0,0,0
37216,89624,517.23,516.14,272,144,-1172,0,-0.01,0
37246,89624,517.23,516.15,284,-40,-1184,0,-0.01,0
