Time,Pascal,alt,KMF,ax,ay,az,LaunchTime,ApoTime,LandTime
22839,89856,495.67,495.14,-6872,10236,-12520,1,0,0
22873,89856,495.67,495.14,5800,-17144,5632,1,0,0
22906,89856,495.67,495.15,-12184,-24120,11256,1,0,0
22940,89856,495.67,495.15,3160,-13724,4324,1,0,0
22974,89857,495.58,495.15,2812,-14304,168,1,0,0
23008,89857,495.58,495.15,2232,-15320,476,1,0,0
23042,89857,495.58,495.15,-2232,-8668,2892,1,0,0
23094,89858,495.48,495.15,-4956,-11116,1576,1,0,0
23128,89858,495.48,495.16,-2088,-9816,4124,1,0,0
23165,89859,495.39,495.16,288,-8372,5772,1,0,0
23199,89859,495.39,495.16,5912,-6644,6280,1,0,0
23233,89859,495.39,495.16,6504,-9672,5212,1,0,0
23268,89860,495.3,495.16,6168,-12572,2940,1,0,0
23302,89860,495.3,495.16,7440,-9416,4656,1,0,0
23335,89861,495.21,495.16,6296,-10676,6384,1,0,0
23370,89861,495.21,495.16,10080,-12308,8220,1,0,0
23404,89861,495.21,495.16,11740,-15032,10692,1,0,0
23438,89861,495.21,495.16,8408,-16520,11084,1,0,0
23473,89862,495.11,495.16,7220,-16204,13756,1,0,0
23511,89863,495.02,495.16,9172,-15448,12972,1,0,0
23544,89864,494.93,495.16,11592,-14536,12788,1,0,0
23579,89864,494.93,495.16,11716,-13912,13004,1,0,0
23613,89864,494.93,495.16,12888,-15472,14280,1,0,0
23648,89864,494.93,495.16,11352,-15296,13904,1,0,0
23682,89864,494.93,495.15,10132,-14524,13872,1,0,0
23715,89864,494.93,495.15,8672,-13592,15060,1,0,0
23750,89865,494.83,495.15,7016,-11948,14112,1,0,0
23784,89866,494.83,495.15,6324,-11428,12652,1,0,0
23822,89867,494.65,495.15,7128,-12000,13420,1,0,0
23857,89868,494.56,495.15,7456,-10876,13320,1,0,0
23890,89868,494.56,495.15,7600,-9716,12676,1,0,0
23924,89869,494.46,495.14,6256,-10132,12104,1,0,0
23959,89869,494.46,495.14,5032,-9360,12164,1,0,0
23993,89869,494.46,495.14,5512,-8672,11760,1,0,0
24027,89869,494.46,495.13,4888,-8624,12036,1,0,0
24061,89869,494.46,495.13,3476,-8140,11860,1,0,0
24095,89869,494.46,495.13,2876,-8540,11612,1,0,0
24129,89869,494.46,495.13,2280,-8388,11932,1,0,0
24167,89869,494.46,495.12,1984,-7512,11748,1,0,0
24202,89869,494.46,495.12,1584,-7936,11300,1,0,0
24236,89869,494.46,495.12,1080,-7240,11260,1,0,0
24269,89869,494.46,495.12,2008,-7724,10504,1,0,0
24304,89869,494.46,495.11,1820,-7124,9548,1,0,0
24338,89868,494.56,495.11,2128,-6460,8496,1,0,0
24372,89868,494.56,495.11,4052,-6836,7960,1,0,0
24407,89868,494.56,495.11,3780,-6380,6720,1,0,0
24440,89868,494.56,495.1,5360,-6972,6600,1,0,0
24478,89869,494.46,495.1,7632,-10948,6044,1,0,0
24512,89869,494.46,495.1,8152,-7960,6920,1,0,0
24555,89869,494.46,495.1,18024,-9600,12176,1,0,0
24589,89869,494.46,495.09,23676,-12932,13036,1,0,0
24624,89868,494.56,495.09,18164,-13524,12840,1,0,0
24657,89868,494.56,495.09,29004,-11288,17128,1,0,0
24692,89869,494.46,495.09,32767,-19508,32232,1,0,0
24726,89869,494.46,495.08,32767,2368,32767,1,0,0
24760,89868,494.56,495.08,32767,3584,32767,1,0,0
24795,89869,494.46,495.08,32767,3128,32767,1,0,0
24851,89869,494.46,495.07,32767,32767,32767,1,0,0
24885,89868,494.56,495.07,32767,32767,32767,1,0,0
24920,89866,494.74,495.07,19720,-2084,-10192,1,0,0
24953,89863,495.02,495.07,-6936,-5900,-14140,1,0,0
24988,89861,495.21,495.07,-7884,-6816,-17972,1,0,0
25022,89861,495.21,495.07,-7652,-3124,-19176,1,0,0
25056,89861,495.21,495.07,-5232,2056,-19032,1,0,0
25091,89862,495.11,495.07,-7664,7208,-16344,1,0,0
25124,89862,495.11,495.07,-6940,11680,-13428,1,0,0
25162,89863,495.02,495.07,-6196,13476,-14808,1,0,0
25197,89863,495.02,495.07,-7832,13896,-14608,1,0,0
25231,89864,494.93,495.07,-9296,11256,-15724,1,0,0
25265,89865,494.83,495.07,-8784,6588,-17360,1,0,0
25299,89866,494.74,495.07,-6144,1376,-18176,1,0,0
25333,89865,494.83,495.07,-4124,-3396,-17684,1,0,0
25367,89865,494.83,495.07,-3536,-6520,-16024,1,0,0
25402,89864,494.93,495.07,-4992,-7100,-14756,1,0,0
25436,89864,494.93,495.06,-7420,-4924,-14780,1,0,0
25470,89864,494.93,495.06,-8396,-488,-15876,1,0,0
25508,89862,495.11,495.06,-8096,5412,-16820,1,0,0
25542,89861,495.11,495.06,-7400,10048,-16420,1,0,0
25576,89861,495.21,495.07,-6984,12736,-15368,1,0,0
25611,89860,495.3,495.07,-7536,13108,-14728,1,0,0
25645,89858,495.48,495.07,-7860,11268,-15328,1,0,0
25679,89857,495.58,495.07,-7336,7464,-16784,1,0,0
25713,89855,495.76,495.07,-5448,2624,-17544,1,0,0
25747,89852,496.04,495.08,-3616,-2064,-17024,1,0,0
25782,89849,496.32,495.08,-3208,-5804,-15572,1,0,0
25820,89847,496.51,495.09,-4460,-7400,-14136,1,0,0
25853,89844,496.78,495.1,-6532,-5964,-14056,1,0,0
25887,89842,496.97,495.11,-8200,-2104,-15184,1,0,0
25922,89841,497.06,495.12,-8272,3012,-16084,1,0,0
25956,89840,497.16,495.13,-7688,7856,-16256,1,0,0
25991,89839,497.25,495.14,-7340,11392,-15440,1,0,0
26024,89838,497.34,495.16,-7468,12808,-14872,1,0,0
26058,89837,497.43,495.17,-7684,11816,-15412,1,0,0
26093,89837,497.43,495.18,-7304,8468,-16636,1,0,0
26131,89836,497.53,495.2,-5208,3212,-17768,1,0,0
26165,89833,497.81,495.22,-3212,-1828,-17264,1,0,0
26199,89831,497.99,495.24,-2340,-5848,-15548,1,0,0
26233,89829,498.18,495.26,-3692,-7788,-13608,1,0,0
26267,89828,498.27,495.28,-5944,-6536,-13196,1,0,0
26302,89827,498.36,495.31,-8424,-2748,-13932,1,0,0
26336,89827,498.36,495.34,-9512,3136,-15488,1,0,0
26370,89827,498.36,495.36,-9024,8304,-16104,1,0,0
26404,89827,498.36,495.39,-8040,11948,-16076,1,0,0
26438,89827,498.36,495.42,-6996,12888,-16068,1,0,0
26476,89827,498.36,495.45,-5488,10224,-16596,1,0,0
26511,89827,498.36,495.49,-4628,5728,-16228,1,0,0
26554,89827,498.36,495.52,-3100,-1448,-15500,1,0,0
26606,89826,498.46,495.56,-4104,-7456,-12544,1,0,0
26641,89826,498.46,495.59,-6732,-7140,-13000,1,0,0
26675,89826,498.46,495.63,-6264,-5744,-12804,1,0,0
26708,89826,498.46,495.67,-7216,-2136,-14020,1,0,0
26743,89826,498.46,495.71,-7264,756,-14068,1,0,0
26777,89826,498.46,495.75,-8192,2496,-14936,1,0,0
26815,89827,498.36,495.79,-8636,5452,-14300,1,0,0
26849,89828,498.27,495.83,-7320,5360,-17012,1,0,0
26884,89829,498.18,495.87,-6112,3256,-18776,1,0,0
26917,89830,498.08,495.91,-2072,-528,-18884,1,0,0
26951,89830,498.08,495.95,404,-4876,-16324,1,0,0
26986,89875,493.91,495.91,32767,32767,11692,1,0,0
27020,90099,473.14,495.45,-32768,32748,-32768,1,0,0
27098,90322,452.5,492.33,-14200,32767,-32768,1,1,0
27132,90378,447.33,488.04,-32768,32767,-32768,1,1,0
27168,90410,444.37,480.87,-12268,-10936,-32768,1,1,0
27207,90429,442.62,471.51,-15540,-32768,-32768,1,1,0
27242,90439,441.69,462.46,-32768,-15688,-32768,1,1,0
27278,90441,441.51,455.72,-32768,32767,-32768,1,1,0
27313,90438,441.78,451.45,-21708,32767,-32768,1,1,0
27348,90430,442.52,448.99,-32768,32767,-32768,1,1,0
27383,90420,443.44,447.65,-32768,32767,-32768,1,1,0
27419,90408,444.55,447.01,-13964,-7244,-32768,1,1,0
27454,90400,445.29,446.7,-32768,32767,32767,1,1,0
27489,90407,444.65,446.38,-11436,6000,-11508,1,1,0
27529,90404,444.92,446.17,-18276,-32768,-32768,1,1,0
27564,90397,445.57,446.1,348,-16200,-32768,1,1,0
27598,90382,446.96,446.2,8852,924,-11852,1,1,0
27634,90370,448.07,446.39,-156,1168,-2740,1,1,0
27669,90357,449.27,446.67,2184,960,-3344,1,1,0
27704,90343,450.56,447.03,1448,1500,-2180,1,1,0
27739,90329,451.86,447.47,2828,2128,-3620,1,1,0
27774,90317,452.97,447.98,32767,23800,-32768,1,1,0
27809,90305,454.07,448.54,29624,32767,-8660,1,1,0
27848,90293,455.18,449.17,8872,11456,8268,1,1,0
27883,90282,456.2,449.85,5412,5736,3236,1,1,0
27919,90271,457.22,450.59,10452,6540,1308,1,1,0
27954,90259,458.33,451.38,15764,6952,3984,1,1,0
27988,90248,459.34,452.23,16096,4276,-672,1,1,0
28023,90237,460.36,453.13,18448,3496,-5772,1,1,0
28059,90226,461.38,454.07,16456,2400,-8476,1,1,0
28093,90217,462.21,455.02,16692,4216,-7928,1,1,0
28128,90207,463.14,455.94,15440,4708,-3128,1,1,0
28162,90207,463.14,456.81,15636,4184,-3096,1,1,0
