Time(ms),weight
1,1.1
2,-4.0
3,-4.2
4,-4.1
5,-4.1
6,-3.9
7,-4.1
8,-4.2
9,-4.1
10,-3.9
11,-4.1
12,-3.3
13,1.6
14,1.6
15,1.9
16,2.0
17,1.9
18,1.7
19,1.9
20,2.0
21,2.1
22,2.4
23,96.5
24,283.5
25,289.6
26,342.5
27,785.3
28,1446.3
29,1583.7
30,577.0
31,516.1
32,1568.1
33,1288.5
34,490.6
35,1300.6
36,1544.7
37,459.4
38,1371.2
39,1572.3
40,257.5
41,10.0
42,4.3
43,-2.6
44,0.2
45,38.9
46,605.5
47,1599.8
48,2061.7
49,2183.2
50,2157.7
51,867.0
52,70.3
53,1.1
54,1.4
55,38.2
56,431.0
57,1349.4
58,1936.4
59,2058.2
60,2295.2
61,2562.6
62,2732.7
63,2093.7
64,533.5
65,40.4
66,5.9
67,6.4
68,6.7
69,291.2
70,1479.7
71,2227.6
72,2602.6
73,2781.1
74,2935.1
75,1731.5
76,170.5
77,5.6
78,6.3
79,7.8
80,8.8
81,221.0
82,1153.2
83,1995.4
84,2314.7
85,2435.3
86,2488.3
87,2496.1
88,2290.2
89,943.1
90,20.8
91,6.3
92,7.0
93,6.5
94,6.2
95,40.5
96,499.2
97,1238.9
98,1747.0
99,2112.5
100,2289.3
101,2361.5
102,2025.3
103,783.7
104,80.4
105,5.8
106,4.2
107,6.0
108,6.1
109,6.5
110,6.2
111,6.1
112,5.6
113,8.7
114,254.5
115,1193.7
116,1687.5
117,1923.5
118,1490.6
119,196.7
120,5.7
121,50.3
122,156.9
123,279.0
124,1151.2
125,1959.7
126,2378.8
127,2488.1
128,1719.4
129,325.9
130,14.3
131,6.3
132,6.6
133,16.4
134,410.6
135,1515.5
136,2187.6
137,2364.3
138,1518.8
139,192.7
140,5.7
141,6.4
142,8.6
143,21.9
144,376.2
145,1457.4
146,2179.0
147,2630.2
148,2679.1
149,911.6
150,22.9
151,6.8
152,6.8
153,7.0
154,19.0
155,629.0
156,1925.8
157,2509.2
158,2791.8
159,2817.6
160,2656.7
161,1876.3
162,417.6
163,127.1
164,81.3
165,28.0
166,9.5
167,7.5
168,7.4
169,7.3
170,17.0
171,86.2
172,380.8
173,921.8
174,1640.4
175,1913.0
176,2091.6
177,2329.8
178,2327.1
179,2320.6
180,2450.7
181,2514.1
182,2477.0
183,2198.6
184,1507.9
185,1843.8
186,2060.2
187,2133.8
188,2142.8
189,2258.5
190,2158.0
191,2387.7
192,1966.9
193,2070.5
194,2229.1
195,1729.6
196,1602.1
197,1272.2
198,569.4
199,563.3
200,1022.9
201,1000.9
202,1294.9
203,633.8
204,19.3
205,9.1
206,76.6
207,366.9
208,723.8
209,856.4
210,978.1
211,1012.9
212,1037.4
213,1096.9
214,1087.1
215,1021.9
216,1018.1
217,870.1
218,587.2
219,230.3
220,23.6
221,7.4
222,7.3
223,7.3
224,7.3
225,7.3
226,7.3
227,7.3
228,7.5
229,7.4
230,7.6
231,7.2
232,7.5
233,7.3
234,7.4
235,7.3
236,7.3
237,7.2
238,7.2
239,7.3
240,7.4
241,7.3
242,7.5
243,7.4
244,7.3
245,7.3
246,7.3
247,7.3
248,7.1
249,7.1
250,7.0
251,5.8
252,7.2
253,7.3
254,7.2
255,7.2
256,7.2
257,7.3
258,7.3
259,7.3
260,7.4
261,7.2
262,7.3
263,7.0
264,7.6
265,7.4
266,7.4
267,7.5
268,7.2
269,7.4
270,7.6
271,7.3
272,7.5
273,7.6
274,7.5
275,7.4
276,7.4
277,7.3
278,7.6
279,7.6
280,7.4
281,7.4
282,7.6
283,7.3
284,7.2
285,7.3
286,7.4
287,7.6
288,7.5
289,7.3
290,7.6
291,7.6
292,7.5
293,7.5
294,7.6
295,7.4
296,7.4
297,7.4
298,7.5
299,7.6
300,7.3
301,7.3
302,7.3
303,7.5
304,7.7
305,7.4
306,7.5
307,7.5
308,6.3
309,7.5
310,7.4
311,7.7
312,7.6
313,7.8
314,7.6
315,7.6
316,7.5
317,7.6
318,7.5
319,7.6
320,7.3
321,7.6
322,7.5
323,7.5
324,7.5
325,7.2
326,7.5
327,7.4
328,7.3
329,7.2
330,7.5
331,7.5
332,7.5
333,7.5
334,7.6
335,7.8
336,7.4
337,7.5
338,7.5
339,7.3
340,7.4
341,7.5
342,7.5
343,7.6
344,7.3
345,7.4
346,7.5
347,7.3
348,7.5
349,7.4
350,7.3
351,7.6
352,7.6
353,7.5
354,7.1
355,7.4
356,7.3
357,7.3
358,7.4
359,7.3
360,7.5
361,7.6
362,7.4
363,7.3
364,7.4
365,5.5
366,7.4
367,7.2
368,7.1
369,7.5
370,7.3
371,7.5
372,7.3
373,7.2
374,7.1
375,7.4
376,7.4
377,7.2
378,7.3
379,7.3
380,7.4
381,7.5
382,7.1
383,7.2
384,7.2
385,7.3
386,7.1
387,7.4
388,7.2
389,7.2
390,7.0
391,7.2
392,7.0
393,7.2
394,7.4
395,7.3
396,7.1
397,7.2
398,7.5
399,7.1
400,7.1
401,7.3
402,7.1
403,7.4
404,7.3
405,7.3
406,7.3
407,7.3
408,7.0
409,7.2
410,7.2
411,7.1
